Mini Combo Veg          ,80 ,Vegetable curry with 2 chapatis or one bowl of rice
Mini Combo Non Veg      ,90 ,Chicken curry with 2 chapatis or one bowl of rice
Full Thali Veg          ,110,Vegetable curry                                                          ,dal,chapati,rice and green salad
Full Thali Non Veg      ,120,Chicken curry                                                            ,dal,chapati,rice and green salad
Curry of the Day Veg    ,120,Chef's special veg curry of the day with chapatis or one bowl of rice
Curry Of the Day Non Veg,150,Chef's special Chicken curry of the day with chapatis or one bowl of rice
Tandoori Roti (w/Butter),20 ,
Tawa Roti               ,20 ,
Tea                     ,10 ,
Coffee                  ,15 ,
Nimbu Pani              ,10 ,
Water Bottle            ,20 ,
Coke (200 ml)           ,20 ,
Samosa                  ,15 ,
Kachori                 ,15 ,
Chicken Tikka Hot Dog   ,70 ,
Tea                     ,10 ,
Coffee                  ,15 ,
Nimbu Pani              ,10 ,
Water Bottle            ,20 ,
Coke (200 ml)           ,20 ,
